TYPEHUQ,CDD30YR,NUMFLRS,STUDIO,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,OUTGRILL,ICE,SIZFREEZ,DWASHUSE,TOPFRONT,WASHLOAD,RNSETEMP,DRYER,DRYRFUEL,TVCOLOR,TVONWE3,WELLPUMP,FUELHEAT,HEATROOM,WHEATOTH,CENACHP,MAINTAC,AGECENAC,ACROOMS,USECENAC,PROTHERMAC,TEMPHOMEAC,NUMCFAN,USECFAN,SWIMPOOL,NOUTLGTNT,WINDOWS,ELWARM,ELWATER,PGASHTWA,NHSLDMEM,HUPROJ,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,TOTALDOL,KAVALNG,OA_LAT
5,1023,21,1,-2,-2,0,1,1,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,1,0,0,2,1,0,100,100,0,1525,742,3,3
4,1364,-2,0,-2,2,2,1,3,-2,0,0,-2,3,1,2,2,1,5,2,-2,-2,5,2,0,0,0,2,2,3,0,69,1,1,-2,-2,2,1,1,-2,1,0,1271,847,847,20840,1707,-2,6
4,1548,-2,0,-2,2,1,2,4,-2,1,0,-2,-2,1,2,2,1,5,2,-2,-2,5,4,0,0,0,3,4,2,0,70,1,2,-2,-2,3,1,1,-2,2,1,800,800,800,7508,1365,1,7
2,4514,-2,-2,10,2,1,2,4,0,1,0,-2,-2,1,3,3,1,1,2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,6,0,0,1,3,-2,1546,0,773,4118,1484,1,27
2,143,-2,-2,20,3,2,4,7,1,1,1,-2,5,1,2,3,1,5,3,1,1,7,5,0,-2,-2,-2,-2,-2,-2,-2,3,1,0,0,7,1,1,-2,2,-2,3032,2111,0,15542,1572,-2,0
2,1426,-2,-2,20,4,3,5,9,1,1,1,-2,5,2,3,2,1,1,6,2,0,1,9,0,0,1,3,9,3,1,78,6,2,1,2,7,0,0,1,3,-2,4992,4592,4592,26876,6625,1,0
2,2507,-2,-2,10,4,2,4,8,1,1,0,1,4,1,2,3,1,5,4,3,0,1,6,0,0,0,3,6,3,1,74,7,3,0,0,3,0,1,-2,3,0,3483,2312,2312,18628,3011,1,8
2,746,-2,-2,20,3,2,4,7,0,0,0,-2,3,1,2,3,1,5,1,-2,0,1,7,0,0,1,2,7,1,0,-2,0,-2,0,0,6,0,0,1,2,-2,3074,2174,2174,7954,2038,1,3
5,2539,2,0,-2,2,1,2,4,-2,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,-2,1,4,1,0,0,2,4,3,1,75,0,-2,-2,-2,2,0,0,2,2,0,999,999,999,6727,1171,3,7
1,879,-2,-2,10,2,1,2,4,0,0,0,-2,2,1,2,2,1,5,1,-2,0,21,3,0,0,0,6,3,3,-2,50,0,-2,-2,-2,3,1,0,-2,1,-2,784,588,588,2624,303,-2,0
3,1523,-2,-2,20,4,1,3,7,1,1,0,1,4,1,4,3,1,1,4,4,0,1,7,0,0,0,6,7,3,0,72,4,2,0,1,4,1,0,1,4,-2,1864,1614,1614,7383,2536,1,5
5,850,5,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,-2,5,3,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,3,1,0,-2,2,0,596,596,398,1815,261,-2,3
2,1423,-2,-2,10,3,2,4,7,1,0,1,1,5,1,2,3,1,5,2,-2,0,5,7,0,1,0,3,7,3,0,73,3,1,0,0,4,1,1,-2,2,-2,1972,1572,1572,13292,1034,-2,5
2,1673,-2,-2,10,3,1,3,6,1,1,0,1,5,1,2,2,1,5,2,-2,0,1,6,0,0,1,6,6,3,1,70,1,0,0,0,3,0,0,1,2,-2,2880,2480,1328,5453,1944,1,5
2,261,-2,-2,20,4,2,6,10,1,1,1,2,5,2,2,3,1,5,4,1,1,1,10,0,0,0,3,6,2,1,73,7,1,0,1,7,0,0,1,2,-2,4430,4430,2418,16240,3521,1,0
4,1192,-2,0,-2,4,2,3,7,-2,1,0,-2,4,2,3,3,1,1,2,-2,-2,1,7,1,-2,-2,-2,-2,-2,-2,-2,5,2,-2,-2,4,0,0,1,4,-2,1952,1474,1263,6729,3195,1,4
